Div,Date,HomeTeam,AwayTeam
E1,26/02/2026,Bristol City,Watford
E1,26/02/2026,Derby,Blackburn
E1,26/02/2026,Leicester,Norwich
E1,26/02/2026,Portsmouth,Hull
E1,26/02/2026,Charlton,Wrexham
E1,26/02/2026,Coventry,Stoke
E1,26/02/2026,Ipswich,Swansea
E1,26/02/2026,Oxford Utd,West Brom
E1,26/02/2026,Preston,Millwall
E1,26/02/2026,QPR,Sheffield Utd
E1,26/02/2026,Sheffield Wed,Southampton
E1,26/02/2026,Birmingham,Middlesbrough
E1,26/02/2026,Ipswich,Hull
E1,26/02/2026,Preston,Oxford Utd
E1,26/02/2026,Blackburn,Portsmouth
E1,26/02/2026,Hull,Millwall
E1,26/02/2026,Watford,Wrexham
E1,26/02/2026,Bristol City,Coventry
E1,26/02/2026,Charlton,Birmingham
E1,26/02/2026,Derby,Sheffield Wed
E1,26/02/2026,Ipswich,Leicester
E1,26/02/2026,Sheffield Utd,West Brom
E1,26/02/2026,Swansea,Stoke
E1,26/02/2026,QPR,Middlesbrough
E1,26/02/2026,Leicester,Bristol City
E1,26/02/2026,Millwall,Derby
E1,26/02/2026,Portsmouth,Swansea
E1,26/02/2026,Sheffield Wed,Watford
E1,26/02/2026,Wrexham,Hull
E1,26/02/2026,Stoke,Ipswich
E1,26/02/2026,Birmingham,QPR
E1,26/02/2026,Middlesbrough,Charlton
E1,26/02/2026,Norwich,Sheffield Utd
E1,26/02/2026,Oxford Utd,Blackburn
E1,26/02/2026,West Brom,Southampton
E1,26/02/2026,Coventry,Preston
E1,26/02/2026,Wrexham,Swansea
E1,26/02/2026,Coventry,Southampton
E1,26/02/2026,Middlesbrough,Bristol City
E1,26/02/2026,Oxford Utd,Charlton
E1,26/02/2026,Birmingham,Sheffield Utd
E1,26/02/2026,Leicester,QPR
E1,26/02/2026,Millwall,Blackburn
E1,26/02/2026,Norwich,Preston
E1,26/02/2026,Sheffield Wed,Ipswich
E1,26/02/2026,Stoke,Watford
E1,26/02/2026,West Brom,Hull
E1,26/02/2026,Portsmouth,Derby
E1,26/02/2026,Southampton,Norwich
E1,26/02/2026,Preston,Stoke
E1,26/02/2026,Blackburn,Middlesbrough
E1,26/02/2026,Derby,Birmingham
E1,26/02/2026,Ipswich,Millwall
E1,26/02/2026,Bristol City,West Brom
E1,26/02/2026,Charlton,Norwich
E1,26/02/2026,Hull,Sheffield Wed
E1,26/02/2026,QPR,Portsmouth
E1,26/02/2026,Sheffield Utd,Wrexham
E1,26/02/2026,Southampton,Oxford Utd
E1,26/02/2026,Watford,Leicester
E1,26/02/2026,Swansea,Coventry
E1,26/02/2026,Birmingham,Blackburn
E1,26/02/2026,Charlton,Bristol City
E1,26/02/2026,Coventry,Derby
E1,26/02/2026,Leicester,Preston
E1,26/02/2026,Middlesbrough,Millwall
E1,26/02/2026,Norwich,Portsmouth
E1,26/02/2026,Oxford Utd,Hull
E1,26/02/2026,QPR,Watford
E1,26/02/2026,Sheffield Utd,Swansea
E1,26/02/2026,Southampton,Ipswich
E1,26/02/2026,Stoke,Sheffield Wed
E1,26/02/2026,West Brom,Wrexham
E1,26/02/2026,Millwall,Norwich
E1,26/02/2026,Blackburn,West Brom
E1,26/02/2026,Bristol City,Sheffield Utd
E1,26/02/2026,Derby,Stoke
E1,26/02/2026,Hull,Coventry
E1,26/02/2026,Ipswich,Birmingham
E1,26/02/2026,Portsmouth,Oxford Utd
E1,26/02/2026,Preston,QPR
E1,26/02/2026,Sheffield Wed,Leicester
E1,26/02/2026,Swansea,Middlesbrough
E1,26/02/2026,Watford,Charlton
E1,26/02/2026,Wrexham,Southampton
E1,26/02/2026,Norwich,Ipswich
E1,26/02/2026,Birmingham,Wrexham
E1,26/02/2026,Charlton,Preston
E1,26/02/2026,Coventry,Sheffield Wed
E1,26/02/2026,Leicester,Swansea
E1,26/02/2026,Middlesbrough,Portsmouth
E1,26/02/2026,Oxford Utd,Watford
E1,26/02/2026,QPR,Bristol City
E1,26/02/2026,Sheffield Utd,Hull
E1,26/02/2026,Southampton,Derby
E1,26/02/2026,Stoke,Blackburn
E1,26/02/2026,West Brom,Millwall
E1,26/02/2026,Blackburn,Coventry
E1,26/02/2026,Bristol City,Norwich
E1,26/02/2026,Derby,Oxford Utd
E1,26/02/2026,Hull,Birmingham
E1,26/02/2026,Ipswich,Middlesbrough
E1,26/02/2026,Millwall,QPR
E1,26/02/2026,Portsmouth,Leicester
E1,26/02/2026,Preston,West Brom
E1,26/02/2026,Sheffield Wed,Charlton
E1,26/02/2026,Swansea,Southampton
E1,26/02/2026,Watford,Sheffield Utd
E1,26/02/2026,Wrexham,Stoke
E1,26/02/2026,Coventry,Portsmouth
E1,26/02/2026,Middlesbrough,Sheffield Wed
E1,26/02/2026,Norwich,Derby
E1,26/02/2026,Oxford Utd,Wrexham
E1,26/02/2026,QPR,Swansea
E1,26/02/2026,Southampton,Bristol City
E1,26/02/2026,Stoke,Millwall
E1,26/02/2026,West Brom,Watford
