Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeOdds,DrawOdds,AwayOdds
null,Heidenheim,Stuttgart,3,3,4.70,4.46,1.74
null,St. Pauli,Werder Bremen,2,1,2.82,3.28,2.85
null,Freiburg,B. Monchengladbach,2,1,2.16,3.50,4.26
2026-02-21,RB Leipzig,Dortmund,2,2,2.20,4.09,3.55
2026-02-21,FC Koln,Hoffenheim,2,2,3.80,3.90,2.12
2026-02-21,Bayern Munich,Eintracht Frankfurt,3,2,1.14,14.50,28.00
2026-02-21,Union Berlin,Bayer Leverkusen,1,0,3.43,3.50,2.41
2026-02-21,Wolfsburg,Augsburg,2,3,2.28,3.55,3.78
2026-02-20,Mainz,Hamburger SV,1,1,2.20,3.59,3.73
2026-02-15,RB Leipzig,Wolfsburg,2,2,1.55,5.00,6.01
2026-02-15,Augsburg,Heidenheim,1,0,1.95,3.85,4.20
2026-02-14,Stuttgart,FC Koln,3,1,1.57,5.13,6.00
2026-02-14,Bayer Leverkusen,St. Pauli,4,0,1.55,4.53,6.53
2026-02-14,Eintracht Frankfurt,B. Monchengladbach,3,0,2.25,3.60,3.60
2026-02-14,Hamburger SV,Union Berlin,3,2,2.48,3.33,3.36
2026-02-14,Hoffenheim,Freiburg,3,0,1.77,4.10,4.90
2026-02-14,Werder Bremen,Bayern Munich,0,3,9.00,6.40,1.35
2026-02-13,Dortmund,Mainz,4,0,1.70,4.30,5.40
2026-02-08,Bayern Munich,Hoffenheim,5,1,1.28,8.52,12.50
2026-02-08,FC Koln,RB Leipzig,1,2,3.65,4.00,2.08
2026-02-07,B. Monchengladbach,Bayer Leverkusen,1,1,3.90,3.78,2.09
2026-02-07,Freiburg,Werder Bremen,1,0,2.20,3.50,3.75
2026-02-07,Heidenheim,Hamburger SV,0,2,3.00,3.50,2.52
2026-02-07,Mainz,Augsburg,2,0,2.00,3.79,4.10
2026-02-07,St. Pauli,Stuttgart,2,1,5.10,3.99,1.75
2026-02-07,Wolfsburg,Dortmund,1,2,4.90,4.44,1.74
2026-02-06,Union Berlin,Eintracht Frankfurt,1,1,2.30,3.63,3.49
2026-02-01,Dortmund,Heidenheim,3,2,1.30,6.79,11.14
2026-02-01,Stuttgart,Freiburg,1,0,1.69,4.40,5.20
2026-01-31,Hamburger SV,Bayern Munich,2,2,10.00,6.69,1.32
2026-01-31,Augsburg,St. Pauli,2,1,2.21,3.28,4.16
2026-01-31,Eintracht Frankfurt,Bayer Leverkusen,1,3,3.60,3.82,2.15
2026-01-31,Hoffenheim,Union Berlin,3,1,1.86,3.86,4.55
2026-01-31,RB Leipzig,Mainz,1,2,1.58,4.82,5.80
2026-01-31,Werder Bremen,B. Monchengladbach,1,1,2.30,3.67,3.45
2026-01-30,FC Koln,Wolfsburg,1,0,2.15,3.81,3.53
2026-01-27,St. Pauli,RB Leipzig,1,1,5.40,3.73,1.80
2026-01-27,Werder Bremen,Hoffenheim,0,2,4.06,3.90,2.00
2026-01-25,Freiburg,FC Koln,2,1,2.06,3.79,3.82
2026-01-25,B. Monchengladbach,Stuttgart,0,3,3.20,3.78,2.36
2026-01-24,Union Berlin,Dortmund,0,3,3.47,3.40,2.35
2026-01-24,Bayer Leverkusen,Werder Bremen,1,0,1.60,4.63,5.60
2026-01-24,Bayern Munich,Augsburg,1,2,1.14,12.00,20.00
2026-01-24,Eintracht Frankfurt,Hoffenheim,1,3,3.20,3.72,2.30
2026-01-24,Heidenheim,RB Leipzig,0,3,5.00,4.60,1.71
2026-01-24,Mainz,Wolfsburg,3,1,2.40,3.47,3.21
2026-01-23,St. Pauli,Hamburger SV,0,0,2.95,3.05,2.88
2026-01-18,Augsburg,Freiburg,2,2,2.70,3.33,2.90
2026-01-18,Stuttgart,Union Berlin,1,1,1.64,4.30,5.71
2026-01-18,RB Leipzig,Bayern Munich,1,5,4.50,4.50,1.75
2026-01-18,FC Koln,Mainz,2,1,2.20,3.55,3.60
2026-01-18,Dortmund,St. Pauli,3,2,1.37,5.40,12.00
2026-01-18,Hamburger SV,B. Monchengladbach,0,0,2.50,3.57,3.00
2026-01-18,Hoffenheim,Bayer Leverkusen,1,0,2.41,3.85,2.88
2026-01-18,Wolfsburg,Heidenheim,1,1,1.71,4.19,5.10
2026-01-16,Werder Bremen,Eintracht Frankfurt,3,3,2.87,3.70,2.71
2026-01-15,Augsburg,Union Berlin,1,1,2.75,3.30,3.00
2026-01-14,FC Koln,Bayern Munich,1,3,12.20,7.75,1.27
2026-01-14,Hoffenheim,B. Monchengladbach,5,1,2.00,4.00,3.82
2026-01-14,RB Leipzig,Freiburg,2,0,1.76,4.10,5.20
2026-01-14,Wolfsburg,St. Pauli,2,1,1.90,3.67,4.56
