Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeOdds,DrawOdds,AwayOdds
2026-02-24,Bayer Leverkusen,Olympiacos Piraeus,0,0,1.78,4.20,4.90
2026-02-24,Inter,Bodo/Glimt,1,2,1.26,8.52,12.00
2026-02-24,Newcastle,Qarabag,3,2,1.18,10.73,18.15
2026-02-24,Atl. Madrid,Club Brugge KV,4,1,1.45,5.81,8.50
2026-02-18,Bodo/Glimt,Inter,3,1,4.65,4.20,1.80
2026-02-18,Club Brugge KV,Atl. Madrid,3,3,4.02,3.85,2.05
2026-02-18,Olympiacos Piraeus,Bayer Leverkusen,0,2,2.45,3.47,3.12
2026-02-18,Qarabag,Newcastle,1,6,9.50,6.00,1.39
2026-02-17,Benfica,Real Madrid,0,1,3.35,3.85,2.25
2026-02-17,Dortmund,Atalanta,2,0,2.25,3.65,4.02
2026-02-17,Monaco,PSG,2,3,7.00,5.40,1.50
2026-02-17,Galatasaray,Juventus,5,2,3.25,3.57,2.42
2026-01-28,Ajax,Olympiacos Piraeus,1,2,3.35,3.78,2.25
2026-01-28,Arsenal,Kairat Almaty,3,2,1.07,21.00,100.00
2026-01-28,Ath Bilbao,Sporting CP,2,3,3.05,3.45,2.60
2026-01-28,Atl. Madrid,Bodo/Glimt,1,2,1.29,7.21,9.50
2026-01-28,Barcelona,FC Copenhagen,4,1,1.14,13.00,25.00
2026-01-28,Bayer Leverkusen,Villarreal,3,0,1.73,4.58,5.00
2026-01-28,Benfica,Real Madrid,4,2,4.49,4.32,1.80
2026-01-28,Club Brugge KV,Marseille,3,0,2.90,3.75,2.50
2026-01-28,Dortmund,Inter,0,2,3.00,3.66,2.50
2026-01-28,Eintracht Frankfurt,Tottenham,0,2,5.17,4.25,1.75
2026-01-28,Liverpool,Qarabag,6,0,1.12,13.00,32.00
2026-01-28,Manchester City,Galatasaray,2,0,1.25,7.80,12.00
2026-01-28,Monaco,Juventus,0,0,4.08,3.79,2.10
2026-01-28,Napoli,Chelsea,2,3,3.70,3.70,2.17
2026-01-28,Pafos,Slavia Prague,4,1,3.35,3.48,2.40
2026-01-28,PSG,Newcastle,1,1,1.59,5.14,5.59
2026-01-28,PSV,Bayern Munich,1,2,5.05,4.80,1.68
2026-01-28,Royale Union SG,Atalanta,1,0,3.15,3.67,2.45
2026-01-21,Atalanta,Ath Bilbao,2,3,1.85,3.95,5.71
2026-01-21,Bayern Munich,Royale Union SG,2,0,1.21,12.00,25.00
2026-01-21,Chelsea,Pafos,1,0,1.22,12.00,31.00
2026-01-21,Juventus,Benfica,2,0,1.95,4.05,5.90
2026-01-21,Marseille,Liverpool,0,3,4.10,4.14,1.96
2026-01-21,Newcastle,PSV,3,0,1.53,6.40,9.70
2026-01-21,Slavia Prague,Barcelona,2,4,8.40,6.40,1.45
2026-01-21,Galatasaray,Atl. Madrid,1,1,3.45,4.00,2.22
2026-01-21,Qarabag,Eintracht Frankfurt,3,2,3.66,3.97,2.20
2026-01-20,FC Copenhagen,Napoli,1,1,4.28,3.80,2.05
2026-01-20,Inter,Arsenal,1,3,2.94,3.46,2.85
2026-01-20,Olympiacos Piraeus,Bayer Leverkusen,2,0,2.49,3.80,3.25
2026-01-20,Real Madrid,Monaco,6,1,1.33,6.50,10.50
2026-01-20,Sporting CP,PSG,2,1,4.57,4.40,1.75
2026-01-20,Tottenham,Dortmund,2,0,2.95,3.75,3.25
2026-01-20,Villarreal,Ajax,1,2,1.59,6.00,9.50
2026-01-20,Bodo/Glimt,Manchester City,3,1,7.60,5.90,1.42
2026-01-20,Kairat Almaty,Club Brugge KV,1,4,7.15,5.19,1.72
2025-12-10,Ath Bilbao,PSG,0,0,4.73,4.00,1.85
