Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeOdds,DrawOdds,AwayOdds
null,Levante,Alaves,2,0,2.81,3.16,2.85
2026-02-23,Alaves,Girona,2,2,2.51,3.20,3.57
2026-02-22,Villarreal,Valencia,2,1,1.75,4.11,5.50
2026-02-22,Celta Vigo,Mallorca,2,0,1.86,3.65,5.30
2026-02-22,Barcelona,Levante,3,0,1.13,13.10,25.00
2026-02-22,Getafe,Sevilla,0,1,2.50,3.00,3.89
2026-02-21,Atl. Madrid,Espanyol,4,2,1.51,5.00,8.28
2026-02-21,Osasuna,Real Madrid,2,1,5.28,4.21,1.74
2026-02-21,Betis,Rayo Vallecano,1,1,1.97,3.60,4.44
2026-02-21,Real Sociedad,Oviedo,3,3,1.66,4.10,8.21
2026-02-20,Ath Bilbao,Elche,2,1,1.75,3.95,5.29
2026-02-18,Levante,Villarreal,0,1,4.54,3.93,1.91
2026-02-16,Girona,Barcelona,2,1,8.21,6.06,1.37
2026-02-15,Mallorca,Betis,1,2,3.17,3.35,2.58
2026-02-15,Levante,Valencia,0,2,2.90,3.27,2.85
2026-02-15,Rayo Vallecano,Atl. Madrid,3,0,4.90,3.72,1.88
2026-02-15,Oviedo,Ath Bilbao,1,2,3.60,3.20,2.63
2026-02-14,Real Madrid,Real Sociedad,4,1,1.43,5.55,8.02
2026-02-14,Sevilla,Alaves,1,1,2.20,3.20,4.25
2026-02-14,Getafe,Villarreal,2,1,3.33,3.00,2.72
2026-02-14,Espanyol,Celta Vigo,2,2,2.75,3.16,3.09
2026-02-13,Elche,Osasuna,0,0,3.05,3.30,2.63
2026-02-09,Villarreal,Espanyol,4,1,1.80,4.10,5.16
2026-02-08,Valencia,Real Madrid,0,2,5.26,4.30,1.67
2026-02-08,Atl. Madrid,Betis,0,1,1.50,4.91,6.51
2026-02-08,Ath Bilbao,Levante,4,2,1.70,4.10,6.10
2026-02-08,Sevilla,Girona,1,1,2.10,3.56,3.93
2026-02-08,Alaves,Getafe,0,2,2.52,2.74,4.01
2026-02-07,Real Sociedad,Elche,3,1,1.66,4.20,5.60
2026-02-07,Barcelona,Mallorca,3,0,1.17,10.10,17.64
2026-02-06,Celta Vigo,Osasuna,1,2,2.13,3.45,4.02
2026-02-02,Mallorca,Sevilla,4,1,2.75,3.10,3.02
2026-02-01,Ath Bilbao,Real Sociedad,1,1,2.32,3.35,3.77
2026-02-01,Getafe,Celta Vigo,0,0,3.06,2.93,3.00
2026-02-01,Betis,Valencia,2,1,1.95,3.70,5.09
2026-02-01,Real Madrid,Rayo Vallecano,2,1,1.31,7.20,11.90
2026-01-31,Elche,Barcelona,1,3,9.00,6.70,1.32
2026-01-31,Levante,Atl. Madrid,0,0,5.32,4.00,1.80
2026-01-31,Osasuna,Villarreal,2,2,2.85,3.40,2.69
2026-01-31,Oviedo,Girona,1,0,3.01,3.10,2.83
2026-01-30,Espanyol,Alaves,1,2,2.04,3.20,4.96
2026-01-26,Girona,Getafe,1,1,2.25,3.09,4.20
2026-01-25,Alaves,Betis,2,1,2.85,3.08,3.05
2026-01-25,Real Sociedad,Celta Vigo,3,1,2.21,3.45,3.74
2026-01-25,Barcelona,Oviedo,3,0,1.15,10.90,21.00
2026-01-25,Atl. Madrid,Mallorca,3,0,1.39,5.56,10.50
2026-01-25,Villarreal,Real Madrid,0,2,4.09,4.26,1.92
