Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeOdds,DrawOdds,AwayOdds
null,Bologna,Udinese,1,0,1.95,3.65,4.68
null,Fiorentina,Pisa,1,0,1.67,4.10,6.16
2026-02-22,AS Roma,Cremonese,3,0,1.36,5.60,12.00
2026-02-22,AC Milan,Parma,0,1,1.35,5.67,11.30
2026-02-22,Atalanta,Napoli,2,1,2.55,3.15,3.36
2026-02-22,Genoa,Torino,3,0,2.40,3.05,3.84
2026-02-21,Cagliari,Lazio,0,0,3.56,3.20,2.58
2026-02-21,Lecce,Inter,0,2,8.30,4.50,1.52
2026-02-21,Juventus,Como,0,2,2.20,3.50,3.85
2026-02-20,Sassuolo,Verona,3,0,1.82,3.55,5.57
2026-02-18,AC Milan,Como,1,1,2.63,3.15,3.26
2026-02-16,Cagliari,Lecce,0,2,2.49,2.95,3.79
2026-02-15,Napoli,AS Roma,2,2,2.62,2.95,3.61
2026-02-15,Torino,Bologna,1,2,3.19,3.40,2.57
2026-02-15,Cremonese,Genoa,0,0,3.60,3.20,2.51
2026-02-15,Parma,Verona,2,1,2.34,3.10,3.95
2026-02-15,Udinese,Sassuolo,1,2,2.69,3.10,3.15
2026-02-14,Inter,Juventus,3,2,2.10,3.40,4.23
2026-02-14,Lazio,Atalanta,0,2,3.76,3.45,2.27
2026-02-14,Como,Fiorentina,1,2,1.73,4.10,5.50
2026-02-13,Pisa,AC Milan,1,2,7.50,4.02,1.60
2026-02-09,AS Roma,Cagliari,2,0,1.51,4.40,8.10
2026-02-09,Atalanta,Cremonese,2,1,1.40,5.40,10.50
2026-02-08,Juventus,Lazio,2,2,1.46,4.70,9.50
2026-02-08,Sassuolo,Inter,0,5,8.00,4.95,1.50
2026-02-08,Lecce,Udinese,2,1,3.00,3.00,2.98
2026-02-08,Bologna,Parma,0,1,1.70,4.01,5.94
2026-02-07,Fiorentina,Torino,2,2,1.75,3.95,5.40
2026-02-07,Genoa,Napoli,2,3,4.46,3.20,2.15
2026-02-06,Verona,Pisa,0,0,2.68,3.05,3.28
2026-02-03,Bologna,AC Milan,0,3,3.48,3.25,2.60
2026-02-02,Udinese,AS Roma,1,0,4.74,3.28,2.05
2026-02-01,Parma,Juventus,1,4,9.75,4.86,1.43
2026-02-01,Cremonese,Inter,0,2,14.60,6.30,1.28
2026-02-01,Como,Atalanta,0,0,2.41,3.45,3.35
2026-02-01,Torino,Lecce,1,0,2.25,3.00,4.38
2026-01-31,Cagliari,Verona,4,0,2.27,3.20,4.08
2026-01-31,Napoli,Fiorentina,2,1,2.01,3.50,4.72
2026-01-31,Pisa,Sassuolo,1,3,3.21,3.25,2.50
2026-01-30,Lazio,Genoa,3,2,2.35,3.00,4.13
2026-01-26,Verona,Udinese,1,3,3.10,3.05,2.81
2026-01-25,AS Roma,AC Milan,1,1,2.94,3.05,3.12
2026-01-25,Juventus,Napoli,3,0,1.99,3.45,5.04
2026-01-25,Atalanta,Parma,4,0,1.40,5.40,10.00
2026-01-25,Genoa,Bologna,3,2,3.39,3.15,2.52
2026-01-25,Sassuolo,Cremonese,1,0,2.15,3.37,4.38
2026-01-24,Lecce,Lazio,0,0,5.18,3.05,2.08
2026-01-24,Fiorentina,Cagliari,1,2,1.85,3.69,4.96
2026-01-24,Lecce,Lazio,0,0,5.18,3.05,2.08
2026-01-24,Fiorentina,Cagliari,1,2,1.85,3.69,4.96
2026-01-24,Como,Torino,6,0,1.58,4.20,7.25
2026-01-23,Inter,Pisa,6,2,1.29,6.75,12.00
2026-01-19,Lazio,Como,0,3,3.40,3.00,2.79
2026-01-19,Cremonese,Verona,0,0,2.50,3.25,3.31
2026-01-18,AC Milan,Lecce,1,0,1.32,5.50,13.00
2026-01-18,Torino,AS Roma,0,2,4.67,3.50,2.00
2026-01-18,Bologna,Fiorentina,1,2,2.42,3.50,3.31
2026-01-18,Parma,Genoa,0,0,3.01,2.80,3.05
2026-01-17,Cagliari,Juventus,1,0,7.40,4.16,1.58
2026-01-17,Napoli,Sassuolo,1,0,1.51,4.42,9.13
2026-01-17,Udinese,Inter,0,1,8.00,4.60,1.50
2026-01-16,Pisa,Atalanta,1,1,6.68,4.20,1.61
2026-01-15,Como,AC Milan,1,3,3.23,3.40,2.52
2026-01-15,Verona,Bologna,2,3,4.12,3.23,2.25
2026-01-14,Inter,Lecce,1,0,1.19,9.00,20.21
2026-01-14,Napoli,Parma,0,0,1.33,5.54,11.92
2026-01-12,Juventus,Cremonese,5,0,1.28,6.29,13.00
2026-01-12,Genoa,Cagliari,3,0,2.26,3.01,4.10
2026-01-11,Inter,Napoli,2,2,1.80,3.70,5.52
2026-01-11,Verona,Lazio,0,1,4.05,3.00,2.45
2026-01-11,Fiorentina,AC Milan,1,1,3.59,3.45,2.30
2026-01-11,Lecce,Parma,1,2,2.88,3.10,3.05
2026-01-10,Atalanta,Torino,2,0,1.63,4.00,6.68
2026-01-10,AS Roma,Sassuolo,2,0,1.72,3.75,6.37
2026-01-10,Como,Bologna,1,1,2.02,3.40,4.36
2026-01-10,Udinese,Pisa,2,2,1.96,3.50,4.91
2026-01-08,AC Milan,Genoa,1,1,1.52,4.19,9.27
2026-01-08,Cremonese,Cagliari,2,2,2.61,3.15,3.45
2026-01-07,Lazio,Fiorentina,2,2,2.45,3.25,3.77
2026-01-07,Parma,Inter,0,2,10.13,5.60,1.37
2026-01-07,Torino,Udinese,1,2,2.27,3.25,3.83
2026-01-07,Bologna,Atalanta,0,2,3.26,3.40,2.45
2026-01-07,Napoli,Verona,2,2,1.35,5.24,12.29
